logging_enabled,buffer_type,buffer_size,table_size,num_req_per_txn,zipf_theta,read_perc,num_worker_threads,commit_cnt,abort_cnt,99% latency,median latency,Throughput (txn/sec),hit rate
TRUE,nobuf,nan,1G,16,0,0.5,1,765,0,40,23,39.26,-nan
TRUE,nobuf,nan,1G,16,0,0.5,2,844,0,63,45,42.66,-nan
TRUE,nobuf,nan,1G,16,0,0.5,4,1011,0,108,80,50.68,-nan
TRUE,nobuf,nan,1G,16,0,0.5,8,946,0,246,166,47,-nan
TRUE,nobuf,nan,1G,16,0,0.5,16,787,5,13443,396,38.38,-nan
TRUE,objbuf,1 MB,1G,16,0,0.5,1,939,0,34,22,48.2,0.1248
TRUE,objbuf,1 MB,1G,16,0,0.5,2,987,0,63,40,49.76,0.124881
TRUE,objbuf,1 MB,1G,16,0,0.5,4,1116,0,114,73,56.05,0.128866
TRUE,objbuf,1 MB,1G,16,0,0.5,8,1145,0,211,138,57.1,0.127761
TRUE,objbuf,1 MB,1G,16,0,0.5,16,1079,13291,841,303,53.22,0.848228
TRUE,objbuf,1G ,1G,16,0,0.5,1,1136,0,28,17,57.78,1
TRUE,objbuf,1G ,1G,16,0,0.5,2,1252,0,45,34,63.36,1
TRUE,objbuf,1G ,1G,16,0,0.5,4,2337,0,66,34,118.26,1
TRUE,objbuf,1G ,1G,16,0,0.5,8,2538,1090,14754,34,127.68,1
TRUE,objbuf,1G ,1G,16,0,0.5,16,4603,389200,13450,57,240.91,1
FALSE,objbuf,1 MB,1G,16,0,0.5,1,5058,0,4,3,293.05,0.072645
FALSE,objbuf,1 MB,1G,16,0,0.5,2,137772,68,4908,2344,8844.58,0.949479
FALSE,objbuf,1 MB,1G,16,0,0.5,4,679624,1033420,17468,8128,174643.2,0.997737
FALSE,objbuf,1 MB,1G,16,0,0.5,8,532266,850491,13050,3357,45440.87,0.993227
FALSE,objbuf,1 MB,1G,16,0,0.5,16,1589340,371861,17871,4566,164373.74,0.995764
FALSE,objbuf,1G ,1G,16,0,0.5,1,334781,0,0,0,8810026.32,1
FALSE,objbuf,1G ,1G,16,0,0.5,2,,,,,,1
FALSE,objbuf,1G ,1G,16,0,0.5,4,,,,,,1
FALSE,objbuf,1G ,1G,16,0,0.5,8,1061165,2663004,19579,9752,49937176.47,1
FALSE,objbuf,1G ,1G,16,0,0.5,16,1465368,1138409,15949,9548,105138511.2,1
FALSE,nobuf,nan,1G,16,0,0.5,8,5512,364,16409,28,280.52,nan
FALSE,nobuf,nan,1G,16,0,0.5,16,6181,8,14465,53,311.03,nan
