g_num_worker_threads,g_commit_pool_sz,g_commit_group_sz,throughput_txn_per_sec,abort_cnt_,avg_log_latency_ (us),avg_commit_queue_sz_,avg_log_group_sz_,avg_log_flush_interval_ (us),hit_rate_
8,4,3,21.6024,5854566,660240.0,3.61067,3.0,100.46,1.0
8,4,10,67.4738,4276527,223181.0,3.73797,10.0,181.239,1.0
8,4,16,92.248,3829007,168352.0,3.61062,16.0,233.812,1.0
8,4,22,143.023,2588242,108728.0,3.46817,22.0,255.057,1.0
8,8,6,40.7347,9309774,673479.0,3.05269,6.0,149.406,1.0
8,8,19,113.007,9902505,266964.0,3.23598,19.0,255.928,1.0
8,8,32,199.498,8755698,153015.0,3.36384,32.0,1531.83,1.0
8,8,45,182.557,5116529,151913.0,2.67906,45.0,15488.7,1.0
8,16,13,87.4034,24163236,623504.0,2.69117,13.0,229.15,1.0
8,16,38,215.929,20947459,260585.0,2.87369,38.0,7073.24,1.0
8,16,64,224.093,14539962,245428.0,2.91845,63.8828,36807.4,1.0
8,16,90,53.7341,18736367,855427.0,2.60955,88.7179,53072.7,1.0
8,25,32,199.628,41874115,521395.0,2.72395,32.0,2774.88,1.0
8,25,64,262.85,26334661,302531.0,2.5899,63.6255,51996.0,1.0
8,25,128,282.43,21945247,292711.0,2.73862,97.578,66057.0,1.0
8,32,26,163.287,56640134,640221.0,2.61108,26.0,719.729,1.0
8,32,77,260.272,33060334,378030.0,2.48919,75.849,45719.7,1.0
8,32,128,279.055,23138930,364908.0,2.63239,109.833,72074.2,1.0
8,64,51,214.661,68542972,748620.0,2.08063,50.9373,30709.3,1.0
8,64,154,273.186,40380050,590021.0,2.04229,107.928,73466.5,1.0
8,64,256,271.546,39873937,596559.0,2.0583,107.749,73943.1,1.0
16,4,6,40.3932,10988489,702086.0,3.64137,6.0,147.651,1.0
16,4,19,126.012,13274425,243166.0,3.87441,19.0,265.727,1.0
16,4,32,192.187,10860659,160697.0,4.14846,32.0,1825.15,1.0
16,4,45,223.414,7708465,131219.0,3.18522,45.0,16366.0,1.0
16,8,13,77.0423,28094617,721036.0,3.05772,13.0,224.973,1.0
16,8,38,218.778,24750172,258440.0,3.25095,38.0,7330.19,1.0
16,8,64,242.251,23044951,242787.0,3.77433,63.858,40346.9,1.0
16,8,90,294.54,13708349,198312.0,3.06476,89.1774,51509.9,1.0
16,16,26,157.225,64752230,717500.0,2.8642,26.0,901.316,1.0
16,16,77,268.111,41695555,381564.0,2.88727,76.0142,46506.2,1.0
16,16,128,282.908,30597947,380031.0,3.06895,113.26,71050.4,1.0
16,16,179,287.445,25470489,378435.0,3.05332,117.2,73739.0,1.0
16,25,128,295.537,49610848,497091.0,2.621,109.927,69970.4,1.0
16,32,51,206.759,70008341,828002.0,2.38711,50.9316,29278.3,1.0
16,32,154,284.382,48617895,612834.0,2.40252,114.819,73151.1,1.0
16,32,256,280.115,52552356,628314.0,2.39948,116.504,73581.7,1.0
16,32,358,287.866,49834231,602128.0,2.43198,117.568,73743.1,1.0
16,64,102,223.365,79101450,1212990.0,1.78847,85.9241,66906.5,1.0
16,64,307,256.278,69835654,1051500.0,1.79303,99.5824,73927.3,1.0
16,64,512,226.993,60797265,1201610.0,1.79578,91.2353,74304.1,1.0
16,64,717,260.582,74691989,1024130.0,1.7735,100.329,73765.8,1.0
32,4,13,85.6313,45947065,676230.0,3.69399,13.0,225.247,1.0
32,4,38,200.156,31196125,280148.0,3.71012,38.0,7780.3,1.0
32,4,64,255.084,27539613,237757.0,4.35759,63.8425,35230.7,1.0
32,4,90,299.103,16454306,200607.0,3.72124,89.3546,46623.1,1.0
32,8,26,164.692,86862006,675155.0,3.23426,26.0,1205.58,1.0
32,8,77,324.644,48657736,389055.0,3.28973,76.4688,41120.9,1.0
32,8,128,299.774,34912487,380316.0,3.61232,118.727,67042.5,1.0
32,8,179,293.512,34257632,392587.0,3.66739,129.195,73512.3,1.0
32,16,51,207.335,85112109,875252.0,2.75749,50.9206,28757.2,1.0
32,16,154,270.98,55980469,696908.0,2.82391,114.892,73184.5,1.0
32,16,256,260.115,56378947,731785.0,2.81896,115.802,73677.3,1.0
32,16,358,272.205,55345578,693262.0,2.81379,115.644,73631.3,1.0
32,32,102,222.276,77729699,1349850.0,2.17521,85.4741,67167.3,1.0
32,64,205,172.865,87271976,2685730.0,1.5201,74.4312,74867.4,1.0
64,4,26,165.399,98661036,680361.0,3.74072,26.0,2286.24,1.0
64,4,77,279.685,51375491,409138.0,4.02736,76.4953,35325.2,1.0
64,4,128,315.012,37789205,377066.0,4.23257,120.358,60078.4,1.0
64,4,179,299.824,35364695,401115.0,4.40726,141.978,72460.4,1.0
64,8,51,185.252,83995049,1055810.0,3.17374,50.851,27776.0,1.0
64,8,154,247.719,67134863,826378.0,3.33728,111.841,73352.1,1.0
64,8,256,251.256,63990122,818737.0,3.31837,114.407,73767.9,1.0
64,8,358,238.276,62202298,863532.0,3.31795,116.253,73880.8,1.0
64,16,102,193.083,84923994,1733310.0,2.59123,82.4254,68080.6,1.0
64,32,205,162.079,96012613,3241050.0,1.87642,73.6334,74864.9,1.0
